,course_number,department,name,Days,Hour,Instructor,Room,Status,Unique
109,316,E E,DIGITAL LOGIC DESIGN,TTH|F,2:00 p.m.-3:30 p.m.|11:00 a.m.-12:00 p.m.,"TOUBA, N",CPE 2.216|EER 0.724,open; restricted,15325
110,316,E E,DIGITAL LOGIC DESIGN,TTH|F,2:00 p.m.-3:30 p.m.|12:00 p.m.-1:00 p.m.,"TOUBA, N",CPE 2.216|EER 0.724,waitlisted; restricted,15330
111,316,E E,DIGITAL LOGIC DESIGN,TTH|TH,3:30 p.m.-5:00 p.m.|10:00 a.m.-11:00 a.m.,"PAN, Z",EER 1.516|EER 0.724,closed,15335
112,316,E E,DIGITAL LOGIC DESIGN,TTH|TH,3:30 p.m.-5:00 p.m.|11:00 a.m.-12:00 p.m.,"PAN, Z",EER 1.516|EER 0.724,open; restricted,15340
113,316,E E,DIGITAL LOGIC DESIGN,TTH|TH,3:30 p.m.-5:00 p.m.|12:00 p.m.-1:00 p.m.,"PAN, Z",EER 1.516|EER 0.724,closed,15345
114,316,E E,DIGITAL LOGIC DESIGN,TTH|TH,3:30 p.m.-5:00 p.m.|1:00 p.m.-2:00 p.m.,"PAN, Z",EER 1.516|EER 0.724,open; restricted,15350
115,319K,E E,INTRO TO EMBEDDED SYSTEMS,MW|T,12:00 p.m.-1:30 p.m.|10:00 a.m.-11:00 a.m.,"YERRABALLI, R",CPE 2.212|EER 1.826,waitlisted; restricted,15355
116,319K,E E,INTRO TO EMBEDDED SYSTEMS,MW|T,12:00 p.m.-1:30 p.m.|11:00 a.m.-12:00 p.m.,"YERRABALLI, R",CPE 2.212|EER 1.826,waitlisted; restricted,15360
117,319K,E E,INTRO TO EMBEDDED SYSTEMS,MW|T,12:00 p.m.-1:30 p.m.|12:00 p.m.-1:00 p.m.,"YERRABALLI, R",CPE 2.212|EER 1.826,waitlisted; restricted,15365
118,319K,E E,INTRO TO EMBEDDED SYSTEMS,MW|T,12:00 p.m.-1:30 p.m.|1:00 p.m.-2:00 p.m.,"YERRABALLI, R",CPE 2.212|EER 1.826,waitlisted; restricted,15370
119,319K,E E,INTRO TO EMBEDDED SYSTEMS,TTH|T,11:00 a.m.-12:30 p.m.|2:00 p.m.-3:00 p.m.,"YERRABALLI, R",CPE 2.220|EER 1.826,waitlisted; restricted,15375
120,319K,E E,INTRO TO EMBEDDED SYSTEMS,TTH|T,11:00 a.m.-12:30 p.m.|3:00 p.m.-4:00 p.m.,"YERRABALLI, R",CPE 2.220|EER 1.826,waitlisted; restricted,15380
121,319K,E E,INTRO TO EMBEDDED SYSTEMS,TTH|T,11:00 a.m.-12:30 p.m.|4:00 p.m.-5:00 p.m.,"YERRABALLI, R",CPE 2.220|EER 1.826,waitlisted; restricted,15385
122,319K,E E,INTRO TO EMBEDDED SYSTEMS,TTH|T,11:00 a.m.-12:30 p.m.|5:00 p.m.-6:00 p.m.,"YERRABALLI, R",CPE 2.220|EER 1.826,waitlisted; restricted,15390
123,319K,E E,INTRO TO EMBEDDED SYSTEMS,TTH|W,12:30 p.m.-2:00 p.m.|1:00 p.m.-2:00 p.m.,"VALVANO, J",CPE 2.220|EER 1.826,waitlisted; restricted,15395
124,319K,E E,INTRO TO EMBEDDED SYSTEMS,TTH|W,12:30 p.m.-2:00 p.m.|11:00 a.m.-12:00 p.m.,"VALVANO, J",CPE 2.220|EER 1.826,open; restricted,15400
125,319K,E E,INTRO TO EMBEDDED SYSTEMS,TTH|TH,12:30 p.m.-2:00 p.m.|2:00 p.m.-3:00 p.m.,"VALVANO, J",CPE 2.220|EER 1.826,waitlisted; restricted,15405
126,319K,E E,INTRO TO EMBEDDED SYSTEMS,TTH|TH,12:30 p.m.-2:00 p.m.|3:00 p.m.-4:00 p.m.,"VALVANO, J",CPE 2.220|EER 1.826,open; restricted,15410
127,319K,E E,INTRO TO EMBEDDED SYSTEMS,MW|TH,1:30 p.m.-3:00 p.m.|11:30 a.m.-12:30 p.m.,"TIWARI, M",EER 1.518|EER 1.826,open; restricted,15415
128,319K,E E,INTRO TO EMBEDDED SYSTEMS,MW|TH,1:30 p.m.-3:00 p.m.|1:00 p.m.-2:00 p.m.,"TIWARI, M",EER 1.518|EER 1.826,open; restricted,15420
129,319K,E E,INTRO TO EMBEDDED SYSTEMS,MW|TH,1:30 p.m.-3:00 p.m.|4:00 p.m.-5:00 p.m.,"TIWARI, M",EER 1.518|EER 1.826,waitlisted; restricted,15425
130,319K,E E,INTRO TO EMBEDDED SYSTEMS,MW|TH,1:30 p.m.-3:00 p.m.|5:00 p.m.-6:00 p.m.,"TIWARI, M",EER 1.518|EER 1.826,waitlisted; restricted,15430
131,319K,E E,INTRO TO EMBEDDED SYSTEMS,TTH|W,2:00 p.m.-3:30 p.m.|3:00 p.m.-4:00 p.m.,"YERRABALLI, R",CPE 2.206|EER 1.826,waitlisted; restricted,15435
132,319K,E E,INTRO TO EMBEDDED SYSTEMS,TTH|W,2:00 p.m.-3:30 p.m.|4:00 p.m.-5:00 p.m.,"YERRABALLI, R",CPE 2.206|EER 1.826,waitlisted; restricted,15440
133,,,,,,,,,
134,319K,E E,INTRO TO EMBEDDED SYSTEMS,TTH|W,2:00 p.m.-3:30 p.m.|5:00 p.m.-6:00 p.m.,"YERRABALLI, R",CPE 2.206|EER 1.826,waitlisted; restricted,15445
135,319K,E E,INTRO TO EMBEDDED SYSTEMS,TTH|W,2:00 p.m.-3:30 p.m.|6:00 p.m.-7:00 p.m.,"YERRABALLI, R",CPE 2.206|EER 1.826,waitlisted; restricted,15450
136,,,,,,,,,
137,422C,E E,SOFTWR DSGN & IMPLEMENTATN II,TTH|W,11:00 a.m.-12:30 p.m.|9:00 a.m.-10:30 a.m.,"PRIEBE, R",UTC 3.110|EER 0.818,waitlisted; restricted,15455
138,422C,E E,SOFTWR DSGN & IMPLEMENTATN II,TTH|TH,11:00 a.m.-12:30 p.m.|9:30 a.m.-11:00 a.m.,"PRIEBE, R",UTC 3.110|EER 0.818,waitlisted; restricted,15460
139,422C,E E,SOFTWR DSGN & IMPLEMENTATN II,TTH|TH,11:00 a.m.-12:30 p.m.|12:30 p.m.-2:00 p.m.,"PRIEBE, R",UTC 3.110|EER 0.818,waitlisted; restricted,15465
140,422C,E E,SOFTWR DSGN & IMPLEMENTATN II,TTH|TH,11:00 a.m.-12:30 p.m.|2:00 p.m.-3:30 p.m.,"PRIEBE, R",UTC 3.110|EER 0.818,waitlisted; restricted,15470
141,422C,E E,SOFTWR DSGN & IMPLEMENTATN II,TTH|W,2:00 p.m.-3:30 p.m.|10:30 a.m.-12:00 p.m.,"NANDAKUMAR, V", | ,cancelled,15475
142,422C,E E,SOFTWR DSGN & IMPLEMENTATN II,TTH|TH,2:00 p.m.-3:30 p.m.|11:00 a.m.-12:30 p.m.,"NANDAKUMAR, V",UTC 3.110| ,cancelled,15480
143,422C,E E,SOFTWR DSGN & IMPLEMENTATN II,TTH|W,2:00 p.m.-3:30 p.m.|12:00 p.m.-1:30 p.m.,"NANDAKUMAR, V",UTC 3.110| ,cancelled,15485
144,422C,E E,SOFTWR DSGN & IMPLEMENTATN II,TTH|W,2:00 p.m.-3:30 p.m.|1:30 p.m.-3:00 p.m.,"NANDAKUMAR, V",UTC 3.110| ,cancelled,15490
145,422C,E E,SOFTWR DSGN & IMPLEMENTATN II,TTH|M,2:00 p.m.-3:30 p.m.|12:00 p.m.-1:30 p.m.,"PRIEBE, R",UTC 3.110|EER 1.512,waitlisted; restricted,15495
146,422C,E E,SOFTWR DSGN & IMPLEMENTATN II,TTH|M,2:00 p.m.-3:30 p.m.|1:30 p.m.-3:00 p.m.,"PRIEBE, R",UTC 3.110|CBA 4.342,waitlisted; restricted,15500
147,422C,E E,SOFTWR DSGN & IMPLEMENTATN II,TTH|M,2:00 p.m.-3:30 p.m.|3:00 p.m.-4:30 p.m.,"PRIEBE, R",UTC 3.110|EER 1.512,waitlisted; restricted,15505
148,422C,E E,SOFTWR DSGN & IMPLEMENTATN II,TTH|M,2:00 p.m.-3:30 p.m.|4:30 p.m.-6:00 p.m.,"PRIEBE, R",UTC 3.110|EER 1.512,waitlisted; restricted,15510
149,325,E E,ELECTROMAGNETIC ENGINEERING,MW,10:30 a.m.-12:00 p.m.,"WASSERMAN, D",ECJ 1.214,waitlisted; restricted,15515
